Text,University name,Address,Latitude,Longitude,Found Address,Match Quality,Source
"UADE <br /><a href='https://fbe.mijnhva.nl/en/fbe-az/study-abroad/_layouts/15/WopiFrame.aspx?sourcedoc=/en/fbe-az/study-abroad/Fact%20sheets%20partnerinstitutes/UADE.docx&action=default' target='_blank'>Factsheet<a/>",UADE,Av. Intermédanos Sur 776,-37.115962,-56.885179,"Av. Intermédanos 776, B7167CAV Pinamar, Buenos Aires, Argentina",Match,Google
"Universidad Austral <br /><a href='https://fbe.mijnhva.nl/en/fbe-az/study-abroad/_layouts/15/WopiFrame.aspx?sourcedoc=/en/fbe-az/study-abroad/Fact%20sheets%20partnerinstitutes/Universidad%20Austral.doc&action=default' target='_blank'>Factsheet<a/><br /><a href='https://www.youtube.com/watch?v=Tv8dZmhSmEs' target='_blank'>Promotional Video<a/>",Universidad Austral,"Mariano Acosta 1611, B1630FHB Pilar, Buenos Aires",-34.4565622,-58.8589786,"Mariano Acosta 1611, La Lonja, Buenos Aires, Argentina",Match,Google
"Universidad del Salvador (USAL) <br /><a href='https://fbe.mijnhva.nl/en/fbe-az/study-abroad/_layouts/15/WopiFrame.aspx?sourcedoc=/en/fbe-az/study-abroad/Fact%20sheets%20partnerinstitutes/USAL.doc&action=default target='_blank'>Factsheet<a/> <br /><a href='https://www.youtube.com/watch?v=57waq1HdllQ&t=3s' target='_blank'>Promotional Video<a/>", Universidad del Salvador (USAL) Buenos Aires ,”Avda. Callao esquina Córdoba C1023AAB”,-34.5996357,-58.3929341,"Av. Córdoba & Av. Callao, C1055 CABA, Argentina",Match,Google
"Curtin University <br /><a href='https://fbe.mijnhva.nl/en/fbe-az/study-abroad/Fact%20sheets%20partnerinstitutes/Curtin%20Fact%20sheet.pdf' target='_blank'>Factsheet<a/>",Curtin University,"Kent Street, Bentley, Perth, Western Australia, 6102",-32.0012929,115.887358,"Kent St, Bentley DC WA 6102, Australia",Match,Google
"Royal Melbourne Institute of Technology (RMIT) <br /><a href='https://fbe.mijnhva.nl/en/fbe-az/study-abroad/Fact%20sheets%20partnerinstitutes/RMIT%20Australia%20factsheet.doc' target='_blank'>Factsheet<a/><br /><a href='https://www.youtube.com/watch?app=desktop&v=ZJIhbNAuihg&list=PL8uYOKwoXWA8YjhoMtUx73qoXtApafg5C&index=24' target='_blank'>Promotional Video<a/>",Royal Melbourne Institute of Technology (RMIT),"124 La Trobe Street, Melbourne VIC 3000",-37.808077,144.9644363,"124 La Trobe St, Melbourne VIC 3000, Australia",Match,Google
"University of Southern Queensland <br /><a href='https://fbe.mijnhva.nl/en/fbe-az/study-abroad/_layouts/15/WopiFrame.aspx?sourcedoc=/en/fbe-az/study-abroad/Fact%20sheets%20partnerinstitutes/University%20of%20Southern%20Queensland,%20Fact%20Sheet.doc&action=default' target='_blank'>Factsheet<a/>",University of Southern Queensland,"West St, Darling Heights QLD 4350, Australia",-27.6042497,151.9355999,"West St, Darling Heights QLD 4350, Australia",Match,Google
"FH Wien der WKW <br /><a href='https://fbe.mijnhva.nl/en/fbe-az/study-abroad/_layouts/15/WopiFrame.aspx?sourcedoc=/en/fbe-az/study-abroad/Fact%20sheets%20partnerinstitutes/FHWien%20factsheet.docx&action=default' target='_blank'>Factsheet<a/>",FH Wien der WKW,"Währinger Gürtel 97, 1180 Wien, Austria",48.2266275,16.3488923,"Währinger Gürtel 97, 1180 Wien, Austria",Match,Google
"University of Applied Sciences of BFI Vienna <br /><a href='https://fbe.mijnhva.nl/en/fbe-az/study-abroad/Fact%20sheets%20partnerinstitutes/BFI%20Vienna%20factsheet.docx' target='_blank'>Factsheet<a/>",University of Applied Sciences of BFI Vienna,"Wohlmutstraße 22, 1020 Wien, Austria",48.2191963,16.4033427,"Fachhochschule Bank- und Finanzwirtschaft Wien, Wohlmutstraße 22, 1020 Wien, Austria",Match,Google
"Universidad Privada Boliviana (UPB) <br /><a href='https://fbe.mijnhva.nl/en/fbe-az/study-abroad/Fact%20sheets%20partnerinstitutes/Universidad%20Privada%20Boliviana.docx' target='_blank'>Factsheet<a/><br /><a href='https://drive.google.com/file/d/1DC6HojMSCOx2LQh7-Xj3-yYTDYlaNW7w/view' target='_blank'>Promotional Video<a/>",Universidad Privada Boliviana (UPB),"Av Juan Pablo II, Colcapirhua, Bolivia",-17.3985866,-66.2172362,"Av Juan Pablo II, Colcapirhua, Bolivia",Match,Google
"Ibmec, Rio de Janeiro <br /><a href='https://fbe.mijnhva.nl/en/fbe-az/study-abroad/Fact%20sheets%20partnerinstitutes/IBMEC%20factsheet.doc' target='_blank'>Factsheet<a/>","Ibmec, Rio de Janeiro","Av. Pres. Wilson, 118 - Centro, Rio de Janeiro - RJ, 20030-020, Brazil",-22.912357,-43.1738686,"Av. Pres. Wilson, 118 - Centro, Rio de Janeiro - RJ, 20030-020, Brazil",Match,Google
"Pontífica Universitat Católica, PUC-Rio <br /><a href='https://fbe.mijnhva.nl/en/fbe-az/study-abroad/Fact%20sheets%20partnerinstitutes/PUC%20Factsheet.doc' target='_blank'>Factsheet<a/>","Pontífica Universitat Católica, PUC-Rio","R. Marquês de São Vicente, 225 - Gávea, Rio de Janeiro - RJ, 22451-900, Brazil",-22.9796128,-43.2330669,"R. Marquês de São Vicente, 225 - Gávea, Rio de Janeiro - RJ, 22451-040, Brazil",Match,Google
"Bishop's University, Lennoxville <br /><a href='https://fbe.mijnhva.nl/en/fbe-az/study-abroad/_layouts/15/WopiFrame.aspx?sourcedoc=/en/fbe-az/study-abroad/Fact%20sheets%20partnerinstitutes/Bishop%27s%20University,%20factsheet.doc&action=default' target='_blank'>Factsheet<a/>","Bishop's University, Lennoxville","2600 College St, Sherbrooke, QC J1M 1Z7, Canada",45.3616173,-71.8452225,"2600 Rue College, Sherbrooke, QC J1M 1Z7, Canada",Match,Google
"John Molson School of Business, Concordia University <br /><a href='https://fbe.mijnhva.nl/en/fbe-az/study-abroad/Fact%20sheets%20partnerinstitutes/Concordia%20University,%20John%20Molson%20Business%20School.doc' target='_blank'>Factsheet<a/><br /><a href='https://www.youtube.com/watch?v=XfLO0xXO7mU&feature=youtu.be' target='_blank'>Promotional Video<a/>","John Molson School of Business, Concordia University","1450 Guy St, Montreal, QC H3H 0A1, Canada",45.4952779,-73.5790443,"1450 Rue Guy, Montréal, QC H3H 1J5, Canada",Match,Google
"Kwantlen Polytechnic University <br /><a href='https://fbe.mijnhva.nl/en/fbe-az/study-abroad/_layouts/15/WopiFrame.aspx?sourcedoc=/en/fbe-az/study-abroad/Fact%20sheets%20partnerinstitutes/Kwantlen%20Polytechnic%20University,%20factsheet.doc&action=default' target='_blank'>Factsheet<a/><br /><a href='https://www.youtube.com/watch?v=LLV9AWkmn4w'target='_blank'>Promotional Video<a/>",Kwantlen Polytechnic University,"8771 Lansdowne Rd, Richmond, BC V6X 3X7, Canada",49.1746454,-123.1274822,"8771 Lansdowne Rd, Richmond, BC V6X 3X7, Canada",Match,Google
"Kwantlen Polytechnic University <br /><a href='https://fbe.mijnhva.nl/en/fbe-az/study-abroad/_layouts/15/WopiFrame.aspx?sourcedoc=/en/fbe-az/study-abroad/Fact%20sheets%20partnerinstitutes/Kwantlen%20Polytechnic%20University,%20factsheet.doc&action=default' target='_blank'>Factsheet<a/><br /><a href='https://www.youtube.com/watch?v=LLV9AWkmn4w' target='_blank'>Promotional Video<a/>",Kwantlen Polytechnic University,"12666 72 Ave, Surrey, BC V3W 2M8, Canada",49.1324694,-122.8706617,"12666 72 Ave, Surrey, BC V3W 2M8, Canada",Match,Google
