Text,University name,Address,Latitude,Longitude,Found Address,Match Quality,Source
UADE <br /><a href='https://fbe.mijnhva.nl/en/fbe-az/study-abroad/_layouts/15/WopiFrame.aspx?sourcedoc=/en/fbe-az/study-abroad/Fact%20sheets%20partnerinstitutes/UADE.docx&action=default'>Factsheet<a/>,UADE,Av. Intermédanos Sur 776,-37.115962,-56.885179,"Av. Intermédanos 776, B7167CAV Pinamar, Buenos Aires, Argentina",Match,Google
Universidad Austral <br /><a href='https://fbe.mijnhva.nl/en/fbe-az/study-abroad/Fact%20sheets%20partnerinstitutes/Universidad-Austral-Factsheet-2019-3.pdf'>Factsheet<a/>,Universidad Austral,"Mariano Acosta 1611, B1630FHB Pilar, Buenos Aires",-34.4565622,-58.8589786,"Mariano Acosta 1611, La Lonja, Buenos Aires, Argentina",Match,Google
"Universidad del Salvador (USAL), Buenos Aires <br /><a href='https://fbe.mijnhva.nl/en/fbe-az/study-abroad/_layouts/15/WopiFrame.aspx?sourcedoc=/en/fbe-az/study-abroad/Fact%20sheets%20partnerinstitutes/USAL%20factsheet.doc&action=default'>Factsheet<a/>","Universidad del Salvador (USAL), Buenos Aires",Avda. Callao esquina Córdoba C1023AAB,-34.5996357,-58.3929341,"Av. Córdoba & Av. Callao, C1055 CABA, Argentina",Match,Google
Curtin University <br /><a href='https://fbe.mijnhva.nl/en/fbe-az/study-abroad/Fact%20sheets%20partnerinstitutes/RMIT%20Australia%20factsheet.doc'>Factsheet<a/>,Curtin University,"Kent Street, Bentley, Perth, Western Australia, 6102",-32.0012929,115.887358,"Kent St, Bentley DC WA 6102, Australia",Match,Google
Royal Melbourne Institute of Technology (RMIT) <br /><a href='https://fbe.mijnhva.nl/en/fbe-az/study-abroad/Fact%20sheets%20partnerinstitutes/RMIT%20Australia%20factsheet.doc'>Factsheet<a/>,Royal Melbourne Institute of Technology (RMIT),"124 La Trobe Street, Melbourne VIC 3000",-37.808077,144.9644363,"124 La Trobe St, Melbourne VIC 3000, Australia",Match,Google
University of Southern Queensland <br /><a href='https://fbe.mijnhva.nl/en/fbe-az/study-abroad/Fact%20sheets%20partnerinstitutes/USQ%20factsheet.doc'>Factsheet<a/>,University of Southern Queensland,"West St, Darling Heights QLD 4350, Australia",-27.6042497,151.9355999,"West St, Darling Heights QLD 4350, Australia",Match,Google
FH Wien der WKW <br /><a href='https://fbe.mijnhva.nl/en/fbe-az/study-abroad/Fact%20sheets%20partnerinstitutes/Fachhochschule%20Wien%20factsheet.docx'>Factsheet<a/>,FH Wien der WKW,"Währinger Gürtel 97, 1180 Wien, Austria",48.2266275,16.3488923,"Währinger Gürtel 97, 1180 Wien, Austria",Match,Google
University of Applied Sciences of BFI Vienna <br /><a href='https://fbe.mijnhva.nl/en/fbe-az/study-abroad/Fact%20sheets%20partnerinstitutes/BFI%20Vienna%20factsheet.docx'>Factsheet<a/>,University of Applied Sciences of BFI Vienna,"Wohlmutstraße 22, 1020 Wien, Austria",48.2191963,16.4033427,"Fachhochschule Bank- und Finanzwirtschaft Wien, Wohlmutstraße 22, 1020 Wien, Austria",Match,Google
Universidad Privada Boliviana (UPB) <br /><a href='https://fbe.mijnhva.nl/en/fbe-az/study-abroad/Fact%20sheets%20partnerinstitutes/Universidad%20Privada%20Boliviana.docx'>Factsheet<a/>,Universidad Privada Boliviana (UPB),"Av Juan Pablo II, Colcapirhua, Bolivia",-17.3985866,-66.2172362,"Av Juan Pablo II, Colcapirhua, Bolivia",Match,Google
"Ibmec, Rio de Janeiro <br /><a href='https://fbe.mijnhva.nl/en/fbe-az/study-abroad/Fact%20sheets%20partnerinstitutes/IBMEC%20factsheet.doc'>Factsheet<a/>","Ibmec, Rio de Janeiro","Av. Pres. Wilson, 118 - Centro, Rio de Janeiro - RJ, 20030-020, Brazil",-22.912357,-43.1738686,"Av. Pres. Wilson, 118 - Centro, Rio de Janeiro - RJ, 20030-020, Brazil",Match,Google
"Pontífica Universitat Católica, PUC-Rio <br /><a href='https://fbe.mijnhva.nl/en/fbe-az/study-abroad/Fact%20sheets%20partnerinstitutes/PUC%20Factsheet.doc'>Factsheet<a/>","Pontífica Universitat Católica, PUC-Rio","R. Marquês de São Vicente, 225 - Gávea, Rio de Janeiro - RJ, 22451-900, Brazil",-22.9796128,-43.2330669,"R. Marquês de São Vicente, 225 - Gávea, Rio de Janeiro - RJ, 22451-040, Brazil",Match,Google
"Bishop's University, Lennoxville <br /><a href='https://fbe.mijnhva.nl/en/fbe-az/study-abroad/Fact%20sheets%20partnerinstitutes/Bishop's%20University%20-%20students%20guide.pdf'>Factsheet<a/>","Bishop's University, Lennoxville","2600 College St, Sherbrooke, QC J1M 1Z7, Canada",45.3616173,-71.8452225,"2600 Rue College, Sherbrooke, QC J1M 1Z7, Canada",Match,Google
"John Molson School of Business, Concordia University <br /><a href='https://fbe.mijnhva.nl/en/fbe-az/study-abroad/Fact%20sheets%20partnerinstitutes/Concordia%20University,%20John%20Molson%20Business%20School.doc'>Factsheet<a/>","John Molson School of Business, Concordia University","1450 Guy St, Montreal, QC H3H 0A1, Canada",45.4952779,-73.5790443,"1450 Rue Guy, Montréal, QC H3H 1J5, Canada",Match,Google
Kwantlen Polytechnic University <br /><a href='https://fbe.mijnhva.nl/en/fbe-az/study-abroad/Fact%20sheets%20partnerinstitutes/Kwantlen%20Polytechnic%20University%20factsheet.doc'>Factsheet<a/>,Kwantlen Polytechnic University,"8771 Lansdowne Rd, Richmond, BC V6X 3X7, Canada",49.1746454,-123.1274822,"8771 Lansdowne Rd, Richmond, BC V6X 3X7, Canada",Match,Google
Kwantlen Polytechnic University <br /><a href='https://fbe.mijnhva.nl/en/fbe-az/study-abroad/Fact%20sheets%20partnerinstitutes/Kwantlen%20Polytechnic%20University%20factsheet.doc'>Factsheet<a/>,Kwantlen Polytechnic University,"12666 72 Ave, Surrey, BC V3W 2M8, Canada",49.1324694,-122.8706617,"12666 72 Ave, Surrey, BC V3W 2M8, Canada",Match,Google
Memorial University of Newfoundland <br /><a href='https://fbe.mijnhva.nl/en/fbe-az/study-abroad/Fact%20sheets%20partnerinstitutes/Memorial%20University%20factsheet.doc'>Factsheet<a/>,Memorial University of Newfoundland,"230 Elizabeth Ave, St. John's, NL A1C 5S7, Canada",47.5713056,-52.7327106,"Arts and Administration, 230 Elizabeth Ave, St. John's, NL A1B 1T5, Canada",Match,Google
"Saint Mary's University, Halifax <br /><a href='https://fbe.mijnhva.nl/en/fbe-az/study-abroad/Fact%20sheets%20partnerinstitutes/Saint%20Mary's%20University.doc'>Factsheet<a/>","Saint Mary's University, Halifax","923 Robie St, Halifax, NS B3H 3C3, Canada",44.6313301,-63.5814571,"923 Robie St, Halifax, NS B3H 1G3, Canada",Match,Google
Université du Québec à Montréal (UQAM) <br /><a href='https://fbe.mijnhva.nl/en/fbe-az/study-abroad/Fact%20sheets%20partnerinstitutes/UQAM.doc'>Factsheet<a/>,Université du Québec à Montréal (UQAM),"405 Rue Sainte-Catherine Est, Montréal, QC H2L 2C4, Canada",45.5141258,-73.5605506,"405 Rue Sainte-Catherine E, Montréal, QC H2X 3S1, Canada",Match,Google
"University of Manitoba, Winnipeg <br /><a href='https://fbe.mijnhva.nl/en/fbe-az/study-abroad/Fact%20sheets%20partnerinstitutes/University%20of%20Manitoba%20factsheet.doc'>Factsheet<a/>","University of Manitoba, Winnipeg","66 Chancellors Cir, Winnipeg, MB R3T 2N2, Canada",49.8096036,-97.1327377,"66 Chancellors Cir, Winnipeg, MB R3T 2N2, Canada",Match,Google
University of Ottawa <br /><a href='https://fbe.mijnhva.nl/en/fbe-az/study-abroad/Fact%20sheets%20partnerinstitutes/University%20of%20Ottawa.doc'>Factsheet<a/>,University of Ottawa,"75 Laurier Ave E, Ottawa, ON K1N 6N5, Canada",45.4243564,-75.6863489,"Tabaret, 75 Laurier Ave E, Ottawa, ON K1N 6N6, Canada",Match,Google
Universidad de Santiago de Chile (USACH) <br /><a href='https://fbe.mijnhva.nl/en/fbe-az/study-abroad/Fact%20sheets%20partnerinstitutes/Universidad%20de%20Santiago%20de%20Chile.doc'>Factsheet<a/>,Universidad de Santiago de Chile (USACH),"Av Libertador Bernardo O'Higgins 3363, Santiago, Estación Central, Región Metropolitana, Chile",-33.4507733,-70.6795493,"Av Libertador Bernardo O'Higgins 3363, Santiago, Estación Central, Región Metropolitana, Chile",Match,Google
Universidad de Talca <br /><a href='https://fbe.mijnhva.nl/en/fbe-az/study-abroad/Fact%20sheets%20partnerinstitutes/Universidad%20de%20Talca.doc'>Factsheet<a/>,Universidad de Talca,"2, Dos Nte 685, Talca, Región del Maule, Chile",-35.4243455,-71.6668858,"2 - Dos Nte 685, Talca, Región del Maule, Chile",Match,Google
Beijing Foreign Studies University <br /><a href='https://fbe.mijnhva.nl/en/fbe-az/study-abroad/Fact%20sheets%20partnerinstitutes/Beijing%20Foreign%20Studies%20University.docx'>Factsheet<a/>,Beijing Foreign Studies University,"19 W 3rd Ring Rd N, Haidian Qu, Beijing Shi, China",39.956351,116.308221,"China, Beijing Shi, Haidian Qu, W 3rd Ring Rd N, 19号-12",Match,Google
"Jiangxi University of Finance and Economics, Nanchang (JUFE) <br /><a href='https://fbe.mijnhva.nl/en/fbe-az/study-abroad/Fact%20sheets%20partnerinstitutes/JUFE.doc'>Factsheet<a/>","Jiangxi University of Finance and Economics, Nanchang (JUFE)","Qingshanhu, Nanchang, China, 330029",28.6638924,115.9321829,"Qingshanhu, Nanchang, Jiangxi, China, 330029",Match,Google
Shanghai University of Finance and Economics (SHUFE) <br /><a href='https://fbe.mijnhva.nl/en/fbe-az/study-abroad/Fact%20sheets%20partnerinstitutes/SUFE%20Shanghai.doc'>Factsheet<a/>,Shanghai University of Finance and Economics (SHUFE),"318 Wuchuan Rd, WuJiaoChang, Yangpu Qu, Shanghai Shi, China, 200433",31.304953,121.498546,"318 Wuchuan Rd, WuJiaoChang, Yangpu Qu, Shanghai Shi, China, 200433",Match,Google
"Southwestern University of Finance and Economics, Chengdu (SWUFE) <br /><a href='https://fbe.mijnhva.nl/en/fbe-az/study-abroad/Fact%20sheets%20partnerinstitutes/SWUFE%20Chengdu.doc'>Factsheet<a/>","Southwestern University of Finance and Economics, Chengdu (SWUFE)","China, Sichuan, Chengdu, Qingyang, Guanghuacun St, 55号附16",30.662819,104.016322,"55 Guanghuacun St, Qingyang Qu, Chengdu Shi, Sichuan Sheng, China, 610072",Partial Match,Google
University of Macau <br /><a href='https://fbe.mijnhva.nl/en/fbe-az/study-abroad/Fact%20sheets%20partnerinstitutes/University%20of%20Macau.doc'>Factsheet<a/>,University of Macau,"University of Macau, Avenida da Universidade, Taipa, Macau, China",22.151407,113.56533,"Avenida Wai Long, Macau University of Science And Technology, BlocoE, Sala 312, Taipa, Macau",Match,Google
"Universidad del Rosario, Bogotá <br /><a href='https://fbe.mijnhva.nl/en/fbe-az/study-abroad/Fact%20sheets%20partnerinstitutes/Universidad%20del%20Rosario.doc'>Factsheet<a/>","Universidad del Rosario, Bogotá","Cl. 12c #Nº 6-25, Bogotá, Colombia",4.6000788,-74.0732928,"Cl. 12c #6-25, Bogotá, Colombia",Match,Google
University of Dubrovnik <br /><a href='https://fbe.mijnhva.nl/en/fbe-az/study-abroad/Fact%20sheets%20partnerinstitutes/University%20of%20Dubrovnik%20factsheet.docx'>Factsheet<a/>,University of Dubrovnik,"Ul. branitelja Dubrovnika 29, 20000, Dubrovnik, Croatia",42.643515,18.1020806,"Ul. branitelja Dubrovnika 29, 20000, Dubrovnik, Croatia",Match,Google
University of Zagreb <br /><a href='https://fbe.mijnhva.nl/en/fbe-az/study-abroad/Fact%20sheets%20partnerinstitutes/University%20of%20Zagreb%20factsheet.docx'>Factsheet<a/>,University of Zagreb,"Trg Republike Hrvatske 14, 10000, Zagreb, Croatia",45.8106889,15.9697192,"Trg Republike Hrvatske 14, 10000, Zagreb, Croatia",Match,Google
Czech University of life Sciences Prague <br /><a href='https://fbe.mijnhva.nl/en/fbe-az/study-abroad/Fact%20sheets%20partnerinstitutes/Czech%20University%20of%20Life%20Sciences%20Prague.doc'>Factsheet<a/>,Czech University of life Sciences Prague,"Kamýcká 129, 165 00 Praha-Suchdol, Czechia",50.1299943,14.3735981,"Kamýcká 129, 165 00 Praha-Suchdol, Czechia",Match,Google
"University of Southern Denmark, Campus Slagelse <br /><a href='https://fbe.mijnhva.nl/en/fbe-az/study-abroad/Fact%20sheets%20partnerinstitutes/University%20of%20Southern%20Denmark%20factsheet.doc'>Factsheet<a/>","University of Southern Denmark, Campus Slagelse","Søndre Stationsvej 28, 4200 Slagelse, Denmark",55.4071854,11.346925,"Søndre Stationsvej 28, 4200 Slagelse, Denmark",Match,Google
"University of Southern Denmark, Campus Sønderborg <br /><a href='https://fbe.mijnhva.nl/en/fbe-az/study-abroad/Fact%20sheets%20partnerinstitutes/University%20of%20Southern%20Denmark%20factsheet.doc'>Factsheet<a/>","University of Southern Denmark, Campus Sønderborg","Alsion 2, 6400 Sønderborg, Denmark",54.9130062,9.7792816,"Alsion 2, 6400 Sønderborg, Denmark",Match,Google
"University of Southern Denmark, Campus Esbjerg <br /><a href='https://fbe.mijnhva.nl/en/fbe-az/study-abroad/Fact%20sheets%20partnerinstitutes/University%20of%20Southern%20Denmark%20factsheet.doc'>Factsheet<a/>","University of Southern Denmark, Campus Esbjerg","Niels Bohrs Vej 9-10, 6700 Esbjerg, Denmark",55.49104,8.449502,"Niels Bohrs Vej 9, 10, 6700 Esbjerg, Denmark",Match,Google
"University of Southern Denmark, Campus Odense <br /><a href='https://fbe.mijnhva.nl/en/fbe-az/study-abroad/Fact%20sheets%20partnerinstitutes/University%20of%20Southern%20Denmark%20factsheet.doc'>Factsheet<a/>","University of Southern Denmark, Campus Odense","Campusvej 55, 5230 Odense, Denmark",55.3683771,10.4270615,"Campusvej 55, 5220 Odense, Denmark",Match,Google
Laurea University of Applied Sciences <br /><a href='https://fbe.mijnhva.nl/en/fbe-az/study-abroad/_layouts/15/WopiFrame.aspx?sourcedoc=/en/fbe-az/study-abroad/Fact%20sheets%20partnerinstitutes/Laurea%20University%20of%20Applied%20Sciences.docx&action=default'>Factsheet<a/>,Laurea University of Applied Sciences,"Ratatie 22, 01300 Vantaa, Finland",60.294987,25.0440579,"Ratatie 22, 01300 Vantaa, Finland",Match,Google
"TAMK University of Applied Sciences, Tampere <br /><a href='https://fbe.mijnhva.nl/en/fbe-az/study-abroad/_layouts/15/WopiFrame.aspx?sourcedoc=/en/fbe-az/study-abroad/Fact%20sheets%20partnerinstitutes/TAMK%20University%20of%20Applied%20Sciences.doc&action=default'>Factsheet<a/>","TAMK University of Applied Sciences, Tampere","Kuntokatu 3, 33520 Tampere, Finland",61.5041038,23.8089114,"Kuntokatu 3, 33520 Tampere, Finland",Match,Google
Ecole Supérieure de Commerce la Rochelle <br /><a href='https://fbe.mijnhva.nl/en/fbe-az/study-abroad/_layouts/15/WopiFrame.aspx?sourcedoc=/en/fbe-az/study-abroad/Fact%20sheets%20partnerinstitutes/La%20Rochelle%20Business%20School.doc&action=default'>Factsheet<a/>,Ecole Supérieure de Commerce la Rochelle,"102 Rue de Coureilles, 17000 La Rochelle, France",46.1406574,-1.156153,"102 Rue de Coureilles, 17000 La Rochelle, France",Match,Google
"EDC Paris Business School, Courbevoie <br /><a href='https://fbe.mijnhva.nl/en/fbe-az/study-abroad/Fact%20sheets%20partnerinstitutes/EDC%20Paris.docx'>Factsheet<a/>","EDC Paris Business School, Courbevoie","70 Galerie des Damiers, 92415 Courbevoie, France",48.8896843,2.2531827,"70 Galerie des Damiers, 92415 Courbevoie, France",Match,Google
"EDHEC Business School Lille <br /><a href='https://fbe.mijnhva.nl/en/fbe-az/study-abroad/Fact%20sheets%20partnerinstitutes/EDHEC%20Nice-Lille,%209-1-2019.doc'>Factsheet<a/>",EDHEC Business School Lille,"24 Avenue Gustave Delory, 59100 Roubaix, France",50.6751879,3.1693917,"24 Avenue Gustave Delory, 59100 Roubaix, France",Match,Google
"EDHEC Business School Nice <br /><a href='https://fbe.mijnhva.nl/en/fbe-az/study-abroad/Fact%20sheets%20partnerinstitutes/EDHEC%20Nice-Lille,%209-1-2019.doc'>Factsheet<a/>",EDHEC Business School Nice,"393, Promenade des Anglais - BP3116 06202 Nice Cedex 3 - France",43.6692546,7.221142,"393 Prom. des Anglais, 06200 Nice, France",Partial Match,Google
ESC Rennes School of Business <br /><a href='https://fbe.mijnhva.nl/en/fbe-az/study-abroad/_layouts/15/WopiFrame.aspx?sourcedoc=/en/fbe-az/study-abroad/Fact%20sheets%20partnerinstitutes/Rennes%20School%20of%20Business.doc&action=default'>Factsheet<a/>,ESC Rennes School of Business,"2 Rue Robert d'Arbrissel, 35065 Rennes, France",48.1277323,-1.6923425,"2 Rue Robert d'Arbrissel, 35000 Rennes, France",Match,Google
"ESCE International Business School, Paris <br /><a href='https://fbe.mijnhva.nl/en/fbe-az/study-abroad/Fact%20sheets%20partnerinstitutes/ESCE%20Paris.docx'>Factsheet<a/>","ESCE International Business School, Paris","10 Rue Sextius Michel, 75015 Paris, France",48.8511011,2.2885372,"10 Rue Sextius Michel, 75015 Paris, France",Match,Google
"ESCEM School of Business & Management Poitiers/Tours <br /><a href='https://fbe.mijnhva.nl/en/fbe-az/study-abroad/Fact%20sheets%20partnerinstitutes/ESCEM,%20Poitiers-Tours.doc'>Factsheet<a/>",ESCEM School of Business & Management Poitiers/Tours,"8 Rue Léo Delibes, 37200 Tours, France",47.3654934,0.7050884,"8 Rue Léo Delibes, 37200 Tours, France",Match,Google
"ESSEC Business School, Cergy-Pontoise <br /><a href='https://fbe.mijnhva.nl/en/fbe-az/study-abroad/Fact%20sheets%20partnerinstitutes/ESSEC,%20Cergy-Pontoise.doc'>Factsheet<a/>","ESSEC Business School, Cergy-Pontoise","3 Avenue Bernard Hirsch, 95021 Cergy-Pontoise, France",49.0335759,2.0753632,"3 Avenue Bernard Hirsch, 95000 Cergy, France",Match,Google
Groupe ESC PAU <br /><a href='https://fbe.mijnhva.nl/en/fbe-az/study-abroad/_layouts/15/WopiFrame.aspx?sourcedoc=/en/fbe-az/study-abroad/Fact%20sheets%20partnerinstitutes/ESC%20Pau%20factsheet.docx&action=default'>Factsheet<a/>,Groupe ESC PAU,"3 Rue Saint-John Perse, 64000 Pau, France",43.3176753,-0.3644136,"3 Rue Saint-John Perse, 64000 Pau, France",Match,Google
"Kedge Business School Marseille <br /><a href='https://fbe.mijnhva.nl/en/fbe-az/study-abroad/_layouts/15/WopiFrame.aspx?sourcedoc=/en/fbe-az/study-abroad/Fact%20sheets%20partnerinstitutes/Kedge%20Business%20School,%20Marseille.doc&action=default'>Factsheet<a/>",Kedge Business School Marseille,"Domaine de Luminy, Rue Antoine Bourdelle 13009 Marseille - France",43.232356,5.433561,"Domaine de Luminy, Rue Antoine Bourdelle, 13009 Marseille, France",Match,Google
"Kedge Business School Bordeaux <br /><a href='https://fbe.mijnhva.nl/en/fbe-az/study-abroad/_layouts/15/WopiFrame.aspx?sourcedoc=/en/fbe-az/study-abroad/Fact%20sheets%20partnerinstitutes/Kedge%20Business%20School,%20Marseille.doc&action=default'>Factsheet<a/>",Kedge Business School Bordeaux,680 cours Libération 33405 Talence - France,44.7964981,-0.6020615,"680 Cours de la Libération, 33405 Talence, France",Match,Google
PSB Paris School of Business (ex Groupe ESG / PGSM) <br /><a href='https://fbe.mijnhva.nl/en/fbe-az/study-abroad/Fact%20sheets%20partnerinstitutes/Paris%20School%20of%20Business.doc'>Factsheet<a/>,PSB Paris School of Business (ex Groupe ESG / PGSM),"59 Rue Nationale, 75013 Paris, France",48.8255126,2.3665205,"59 Rue Nationale, 75013 Paris, France",Match,Google
Fachhochschule Dortmund <br /><a href='https://fbe.mijnhva.nl/en/fbe-az/study-abroad/Fact%20sheets%20partnerinstitutes/Fachhochschule%20Dortmund%20factsheet.doc'>Factsheet<a/>,Fachhochschule Dortmund,"Sonnenstraße 96, 44139 Dortmund, Germany",51.5056431,7.4574777,"Sonnenstraße 96, 44139 Dortmund, Germany",Match,Google
Hochschule Düsseldorf <br /><a href='https://fbe.mijnhva.nl/en/fbe-az/study-abroad/Fact%20sheets%20partnerinstitutes/Fachhochschule%20Dusseldorf%20factsheet.doc'>Factsheet<a/>,Hochschule Düsseldorf,"Münsterstraße 156, 40476 Düsseldorf, Germany",51.2468622,6.7916869,"Münsterstraße 156, 40476 Düsseldorf, Germany",Match,Google
Frankfurt University of Applied Sciences <br /><a href='https://fbe.mijnhva.nl/en/fbe-az/study-abroad/Fact%20sheets%20partnerinstitutes/Frankfurt%20University%20of%20Applied%20Sciences%20factsheet.doc'>Factsheet<a/>,Frankfurt University of Applied Sciences,"Nibelungenpl 1, 60318 Frankfurt am Main, Germany",50.1286856,8.6916861,"Nibelungenpl 1, 60318 Frankfurt am Main, Germany",Match,Google
TH Köln/University of Applied Sciences <br /><a href='https://fbe.mijnhva.nl/en/fbe-az/study-abroad/Fact%20sheets%20partnerinstitutes/Fachhochschule%20K%C3%B6ln%20factsheet.docx'>Factsheet<a/>,TH Köln/University of Applied Sciences,"Ubierring 40, 50678 Köln, Germany",50.9214682,6.9629659,"Ubierring 40, 50678 Köln, Germany",Match,Google
"Technische Hochschule Nürnberg Georg Simon Ohm <br /><a href='https://fbe.mijnhva.nl/en/fbe-az/study-abroad/Fact%20sheets%20partnerinstitutes/Georg-Simon-Ohm-Hochschule%20Nurnberg,%20factsheet.doc'>Factsheet<a/>",Technische Hochschule Nürnberg Georg Simon Ohm,"Keßlerpl. 12, 90489 Nürnberg, Germany",49.4528343,11.0932366,"KA-Gebäude GSO, Keßlerpl. 12, 90489 Nürnberg, Germany",Match,Google
"Hochschule für Wirtschaft und Recht Berlin <br /><a href='https://fbe.mijnhva.nl/en/fbe-az/study-abroad/Fact%20sheets%20partnerinstitutes/Hochschule%20f%C3%BCr%20Wirtschaft%20und%20Recht%20Berlin,%20fatsheet.doc'>Factsheet<a/>",Hochschule für Wirtschaft und Recht Berlin,"Badensche Str. 52, 10825 Berlin, Germany",52.4854703,13.3382037,"Badensche Str. 52, 10825 Berlin, Germany",Match,Google
Fachhochschule für Angewandte Wissenschaften Hamburg <br /><a href='https://fbe.mijnhva.nl/en/fbe-az/study-abroad/Fact%20sheets%20partnerinstitutes/HAW%20Hamburg%20factsheet.doc'>Factsheet<a/>,Fachhochschule für Angewandte Wissenschaften Hamburg,"Berliner Tor 5, 20099 Hamburg, Germany",53.5565997,10.0219843,"Haus A, Berliner Tor 5, 20099 Hamburg, Germany",Match,Google
"International Black Sea University <br /><a href='https://fbe.mijnhva.nl/en/fbe-az/study-abroad/Fact%20sheets%20partnerinstitutes/International%20Black%20%20Sea%20University,%20Tbilisi.docx'>Factsheet<a/>",International Black Sea University,"2 0131, 13km დავით აღმაშენებლის ხეივანი, Tbilisi, Georgia",41.7973758,44.7739649,"2 0131, 13km დავით აღმაშენებლის ხეივანი, Tbilisi, Georgia",Match,Google
